accuracy,loss,val_accuracy,val_loss
0.2410714328289032,2.029658079147339,0.2142857164144516,1.5232852697372437
0.2633928656578064,1.6692708730697632,0.2321428507566452,1.4907010793685913
0.40625,1.2547786235809326,0.3035714328289032,1.3798682689666748
0.4866071343421936,1.140884518623352,0.2678571343421936,1.4252809286117554
0.6026785969734192,0.9613364338874817,0.3035714328289032,1.3555353879928589
0.6696428656578064,0.8476334810256958,0.2678571343421936,1.4341089725494385
0.71875,0.7639327049255371,0.2857142984867096,1.4098340272903442
0.8348214030265808,0.5240631699562073,0.2678571343421936,1.4173260927200317
0.8348214030265808,0.5064796209335327,0.2321428507566452,1.4728413820266724
0.8973214030265808,0.40115591883659363,0.3928571343421936,1.3259992599487305
0.9241071343421936,0.2960939109325409,0.25,1.5259884595870972
0.8928571343421936,0.32088664174079895,0.3035714328289032,1.3739774227142334
0.9375,0.24261225759983063,0.3214285671710968,1.4018523693084717
0.9330357313156128,0.19719374179840088,0.3214285671710968,1.5792970657348633
0.9553571343421936,0.15363450348377228,0.4107142984867096,1.4144080877304077
